,precision,recall,f1-score,support
"meerkat, mierkat",0.8571428571428571,0.84,0.8484848484848485,50
tiger beetle,0.8070175438596491,0.92,0.8598130841121495,50
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",0.7818181818181819,0.86,0.819047619047619,50
"ground beetle, carabid beetle",0.8529411764705882,0.58,0.6904761904761905,50
"long-horned beetle, longicorn, longicorn beetle",0.8409090909090909,0.74,0.7872340425531915,50
"leaf beetle, chrysomelid",0.6346153846153846,0.66,0.6470588235294118,50
dung beetle,0.8958333333333334,0.86,0.8775510204081632,50
rhinoceros beetle,0.8363636363636363,0.92,0.8761904761904761,50
weevil,0.9166666666666666,0.88,0.8979591836734694,50
fly,0.8431372549019608,0.86,0.8514851485148515,50
bee,0.8260869565217391,0.76,0.7916666666666667,50
"ant, emmet, pismire",0.7037037037037037,0.76,0.7307692307692308,50
"grasshopper, hopper",0.6122448979591837,0.6,0.6060606060606062,50
cricket,0.6595744680851063,0.62,0.6391752577319586,50
"walking stick, walkingstick, stick insect",0.6964285714285714,0.78,0.7358490566037736,50
"cockroach, roach",0.8297872340425532,0.78,0.8041237113402062,50
"mantis, mantid",0.782608695652174,0.72,0.7499999999999999,50
"cicada, cicala",0.8679245283018868,0.92,0.8932038834951457,50
leafhopper,0.9038461538461539,0.94,0.9215686274509804,50
"lacewing, lacewing fly",0.8958333333333334,0.86,0.8775510204081632,50
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.8222222222222222,0.74,0.7789473684210526,50
damselfly,0.7758620689655172,0.9,0.8333333333333334,50
admiral,0.9591836734693877,0.94,0.9494949494949495,50
"ringlet, ringlet butterfly",0.9411764705882353,0.96,0.9504950495049505,50
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",1.0,0.94,0.9690721649484536,50
cabbage butterfly,0.9230769230769231,0.96,0.9411764705882353,50
"sulphur butterfly, sulfur butterfly",0.9787234042553191,0.92,0.9484536082474226,50
"lycaenid, lycaenid butterfly",1.0,0.96,0.9795918367346939,50
"starfish, sea star",0.88,0.88,0.88,50
sea urchin,0.8775510204081632,0.86,0.8686868686868686,50
"sea cucumber, holothurian",0.7647058823529411,0.78,0.7722772277227723,50
"wood rabbit, cottontail, cottontail rabbit",0.8260869565217391,0.76,0.7916666666666667,50
hare,0.8148148148148148,0.88,0.8461538461538461,50
"Angora, Angora rabbit",0.9423076923076923,0.98,0.9607843137254902,50
hamster,0.8928571428571429,1.0,0.9433962264150945,50
"porcupine, hedgehog",0.92,0.92,0.92,50
"fox squirrel, eastern fox squirrel, Sciurus niger",0.9130434782608695,0.84,0.8749999999999999,50
marmot,0.7758620689655172,0.9,0.8333333333333334,50
beaver,0.8913043478260869,0.82,0.8541666666666666,50
"guinea pig, Cavia cobaya",0.9111111111111111,0.82,0.8631578947368421,50
sorrel,0.98,0.98,0.98,50
zebra,1.0,0.94,0.9690721649484536,50
"hog, pig, grunter, squealer, Sus scrofa",0.8235294117647058,0.56,0.6666666666666666,50
"wild boar, boar, Sus scrofa",0.7368421052631579,0.84,0.7850467289719626,50
warthog,0.8135593220338984,0.96,0.8807339449541285,50
"hippopotamus, hippo, river horse, Hippopotamus amphibius",0.9787234042553191,0.92,0.9484536082474226,50
ox,0.8333333333333334,0.6,0.6976744186046512,50
"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",0.9130434782608695,0.84,0.8749999999999999,50
bison,0.92,0.92,0.92,50
"ram, tup",0.6379310344827587,0.74,0.6851851851851852,50
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.7446808510638298,0.7,0.7216494845360825,50
"ibex, Capra ibex",0.9423076923076923,0.98,0.9607843137254902,50
hartebeest,1.0,0.96,0.9795918367346939,50
"impala, Aepyceros melampus",0.7894736842105263,0.9,0.8411214953271027,50
gazelle,0.8095238095238095,0.68,0.7391304347826089,50
"Arabian camel, dromedary, Camelus dromedarius",0.8888888888888888,0.96,0.923076923076923,50
llama,0.9130434782608695,0.84,0.8749999999999999,50
weasel,0.6363636363636364,0.42,0.5060240963855421,50
mink,0.676923076923077,0.88,0.7652173913043478,50
"polecat, fitch, foulmart, foumart, Mustela putorius",0.46551724137931033,0.54,0.5,50
"black-footed ferret, ferret, Mustela nigripes",0.7727272727272727,0.68,0.7234042553191491,50
otter,0.8163265306122449,0.8,0.8080808080808082,50
"skunk, polecat, wood pussy",0.8823529411764706,0.9,0.8910891089108911,50
badger,0.8775510204081632,0.86,0.8686868686868686,50
armadillo,0.8301886792452831,0.88,0.8543689320388349,50
"three-toed sloth, ai, Bradypus tridactylus",0.9074074074074074,0.98,0.9423076923076924,50
"orangutan, orang, orangutang, Pongo pygmaeus",0.8979591836734694,0.88,0.888888888888889,50
"gorilla, Gorilla gorilla",0.8695652173913043,0.8,0.8333333333333333,50
"chimpanzee, chimp, Pan troglodytes",0.75,0.9,0.8181818181818182,50
"gibbon, Hylobates lar",0.7659574468085106,0.72,0.7422680412371133,50
"siamang, Hylobates syndactylus, Symphalangus syndactylus",0.8571428571428571,0.72,0.782608695652174,50
"guenon, guenon monkey",0.8775510204081632,0.86,0.8686868686868686,50
"patas, hussar monkey, Erythrocebus patas",0.7333333333333333,0.66,0.6947368421052631,50
baboon,0.8275862068965517,0.96,0.888888888888889,50
macaque,0.7115384615384616,0.74,0.7254901960784313,50
langur,0.8461538461538461,0.66,0.7415730337078651,50
"colobus, colobus monkey",0.9574468085106383,0.9,0.9278350515463918,50
"proboscis monkey, Nasalis larvatus",0.9433962264150944,1.0,0.970873786407767,50
marmoset,0.926829268292683,0.76,0.8351648351648352,50
"capuchin, ringtail, Cebus capucinus",0.7457627118644068,0.88,0.8073394495412843,50
"howler monkey, howler",0.8035714285714286,0.9,0.8490566037735849,50
"titi, titi monkey",0.5849056603773585,0.62,0.6019417475728155,50
"spider monkey, Ateles geoffroyi",0.6388888888888888,0.46,0.5348837209302325,50
"squirrel monkey, Saimiri sciureus",0.6153846153846154,0.8,0.6956521739130435,50
"Madagascar cat, ring-tailed lemur, Lemur catta",0.8947368421052632,0.68,0.7727272727272727,50
"indri, indris, Indri indri, Indri brevicaudatus",0.7457627118644068,0.88,0.8073394495412843,50
"Indian elephant, Elephas maximus",0.627906976744186,0.54,0.5806451612903226,50
"African elephant, Loxodonta africana",0.7727272727272727,0.68,0.7234042553191491,50
