,precision,recall,f1-score,support
"Arctic fox, white fox, Alopex lagopus",0.9302325581395349,0.8,0.8602150537634408,50
"grey fox, gray fox, Urocyon cinereoargenteus",0.6521739130434783,0.6,0.6250000000000001,50
"tabby, tabby cat",0.5833333333333334,0.28,0.3783783783783784,50
tiger cat,0.3125,0.1,0.15151515151515152,50
Persian cat,0.875,0.84,0.8571428571428572,50
"Siamese cat, Siamese",0.8958333333333334,0.86,0.8775510204081632,50
Egyptian cat,0.3125,0.4,0.3508771929824561,50
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",0.6140350877192983,0.7,0.6542056074766356,50
"lynx, catamount",0.9285714285714286,0.52,0.6666666666666666,50
"leopard, Panthera pardus",0.46,0.46,0.46,50
"snow leopard, ounce, Panthera uncia",0.8529411764705882,0.58,0.6904761904761905,50
"jaguar, panther, Panthera onca, Felis onca",0.449438202247191,0.8,0.5755395683453237,50
"lion, king of beasts, Panthera leo",0.82,0.82,0.82,50
"tiger, Panthera tigris",0.6557377049180327,0.8,0.7207207207207207,50
"cheetah, chetah, Acinonyx jubatus",0.4583333333333333,0.66,0.540983606557377,50
"brown bear, bruin, Ursus arctos",0.7450980392156863,0.76,0.7524752475247525,50
"American black bear, black bear, Ursus americanus, Euarctos americanus",0.6538461538461539,0.68,0.6666666666666666,50
"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.6515151515151515,0.86,0.7413793103448276,50
"sloth bear, Melursus ursinus, Ursus ursinus",0.9375,0.6,0.7317073170731707,50
mongoose,0.8571428571428571,0.36,0.5070422535211268,50
"meerkat, mierkat",0.7586206896551724,0.44,0.5569620253164557,50
tiger beetle,0.6716417910447762,0.9,0.7692307692307693,50
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",0.7083333333333334,0.68,0.6938775510204083,50
"ground beetle, carabid beetle",0.6097560975609756,0.5,0.5494505494505494,50
"long-horned beetle, longicorn, longicorn beetle",0.5652173913043478,0.52,0.5416666666666667,50
"leaf beetle, chrysomelid",0.5,0.52,0.5098039215686274,50
dung beetle,0.7105263157894737,0.54,0.6136363636363636,50
rhinoceros beetle,0.7906976744186046,0.68,0.7311827956989247,50
