,precision,recall,f1-score,support
toucan,0.9019607843137255,0.92,0.9108910891089109,50
drake,0.9069767441860465,0.78,0.8387096774193548,50
"red-breasted merganser, Mergus serrator",0.9782608695652174,0.9,0.9375,50
goose,0.8863636363636364,0.78,0.8297872340425532,50
"black swan, Cygnus atratus",0.9411764705882353,0.96,0.9504950495049505,50
tusker,0.5689655172413793,0.66,0.6111111111111112,50
"echidna, spiny anteater, anteater",0.9591836734693877,0.94,0.9494949494949495,50
"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",0.7254901960784313,0.74,0.7326732673267328,50
"wallaby, brush kangaroo",0.803921568627451,0.82,0.8118811881188118,50
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",0.8571428571428571,0.84,0.8484848484848485,50
wombat,0.7755102040816326,0.76,0.7676767676767676,50
jellyfish,0.9019607843137255,0.92,0.9108910891089109,50
"sea anemone, anemone",0.7948717948717948,0.62,0.6966292134831461,50
brain coral,0.7959183673469388,0.78,0.7878787878787878,50
"flatworm, platyhelminth",0.9333333333333333,0.84,0.8842105263157894,50
"nematode, nematode worm, roundworm",0.8823529411764706,0.9,0.8910891089108911,50
conch,0.6481481481481481,0.7,0.673076923076923,50
snail,0.7916666666666666,0.76,0.7755102040816326,50
slug,0.7291666666666666,0.7,0.7142857142857142,50
"sea slug, nudibranch",0.7049180327868853,0.86,0.7747747747747747,50
"chiton, coat-of-mail shell, sea cradle, polyplacophore",0.8653846153846154,0.9,0.8823529411764707,50
"chambered nautilus, pearly nautilus, nautilus",0.9767441860465116,0.84,0.9032258064516129,50
"Dungeness crab, Cancer magister",0.78,0.78,0.78,50
"rock crab, Cancer irroratus",0.5357142857142857,0.6,0.5660377358490566,50
fiddler crab,0.723404255319149,0.68,0.7010309278350516,50
"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",0.8333333333333334,0.8,0.816326530612245,50
"American lobster, Northern lobster, Maine lobster, Homarus americanus",0.8541666666666666,0.82,0.836734693877551,50
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",0.8235294117647058,0.84,0.8316831683168315,50
"crayfish, crawfish, crawdad, crawdaddy",0.5833333333333334,0.56,0.5714285714285714,50
hermit crab,0.5970149253731343,0.8,0.6837606837606838,50
isopod,0.7291666666666666,0.7,0.7142857142857142,50
