,precision,recall,f1-score,support
macaque,0.46153846153846156,0.24,0.3157894736842105,50
langur,0.7142857142857143,0.2,0.3125,50
"colobus, colobus monkey",1.0,0.02,0.0392156862745098,50
"proboscis monkey, Nasalis larvatus",0.8571428571428571,0.24,0.375,50
marmoset,1.0,0.04,0.07692307692307693,50
"capuchin, ringtail, Cebus capucinus",0.2054794520547945,0.3,0.24390243902439024,50
"howler monkey, howler",0.43243243243243246,0.32,0.36781609195402293,50
"titi, titi monkey",0.19047619047619047,0.24,0.21238938053097342,50
"spider monkey, Ateles geoffroyi",0.3076923076923077,0.08,0.126984126984127,50
"squirrel monkey, Saimiri sciureus",0.3076923076923077,0.08,0.126984126984127,50
"Madagascar cat, ring-tailed lemur, Lemur catta",0.8333333333333334,0.1,0.17857142857142858,50
"indri, indris, Indri indri, Indri brevicaudatus",0.2073170731707317,0.34,0.25757575757575757,50
"Indian elephant, Elephas maximus",0.2833333333333333,0.34,0.30909090909090914,50
"African elephant, Loxodonta africana",0.5,0.06,0.10714285714285712,50
"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",0.7307692307692307,0.38,0.5,50
"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",0.8461538461538461,0.44,0.5789473684210525,50
"barracouta, snoek",1.0,0.02,0.0392156862745098,50
eel,1.0,0.04,0.07692307692307693,50
"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",1.0,0.02,0.0392156862745098,50
"rock beauty, Holocanthus tricolor",0.9130434782608695,0.42,0.5753424657534246,50
anemone fish,0.3333333333333333,0.02,0.03773584905660377,50
sturgeon,0.0,0.0,0.0,50
"gar, garfish, garpike, billfish, Lepisosteus osseus",0.6666666666666666,0.04,0.07547169811320754,50
lionfish,0.0,0.0,0.0,50
"puffer, pufferfish, blowfish, globefish",0.16666666666666666,0.02,0.03571428571428571,50
abacus,0.358974358974359,0.28,0.3146067415730337,50
abaya,0.45714285714285713,0.32,0.37647058823529417,50
"academic gown, academic robe, judge's robe",0.21428571428571427,0.06,0.09375,50
"accordion, piano accordion, squeeze box",0.0,0.0,0.0,50
acoustic guitar,0.0,0.0,0.0,50
"aircraft carrier, carrier, flattop, attack aircraft carrier",0.02735562310030395,0.18,0.047493403693931395,50
airliner,0.5833333333333334,0.14,0.22580645161290325,50
"airship, dirigible",0.14482758620689656,0.42,0.2153846153846154,50
altar,0.10909090909090909,0.12,0.1142857142857143,50
ambulance,0.4634146341463415,0.76,0.5757575757575758,50
"amphibian, amphibious vehicle",0.2,0.04,0.06666666666666667,50
analog clock,0.125,0.46,0.1965811965811966,50
